dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
nzpam-datapack,NZP&M Petroleum Exploration Data Pack,NZ,all NZ basins,project bundle,post-stack,n/a,,SEG-Y; LAS; project files,,,,1,"475,000 line-km 2D; >24,000 km2 3D; 1,044 wells (671 LAS composites)",,partial,horizon,interpretation projects,operator-submitted open-file interpretations,"1,044 wells, interpretation projects",Free public release; acknowledge New Zealand Petroleum & Minerals (Crown Minerals Act open-file),,yes,unclear,yes,unclear,unclear,licence-text,open-download,https://www.nzpam.govt.nz/maps-geoscience/petroleum-datapack,yes,2,SIZE EMPTY - NZP&M publishes no aggregate byte figure. Multi-TB; ships on portable HDD for NZ$250 or free bulk pull via Azure Storage Explorer. The single biggest NZ archive; awkward bulk access is why ml_ready is 2.
poseidon-3d-mdio,"Poseidon 3D (TGS AWS Open Data, MDIO)",AU,Browse,full stack,post-stack,PSTM,full_stack_agc.mdio/**,zarr/MDIO,36796513953,36.80 GB,listing,14116,,,no,,,,decimated stacking velocities elsewhere in bucket,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://tgs-opendata-poseidon.s3.amazonaws.com/index.html,yes,4,"MEASURED THIS PASS by full paginated S3 ListObjectsV2 - the bucket IS listable anonymously. This corrects an earlier '~40-50 GB whole bucket' estimate: the four stacks alone are 202.11 GB. Chunked zarr store, so n_files is the object count, not one file. Pull with s3://tgs-opendata-poseidon (us-west-2) or the mdio-python reader. full_stack is AGC-scaled."
poseidon-3d-mdio,"Poseidon 3D (TGS AWS Open Data, MDIO)",AU,Browse,angle stack (near),post-stack,PSTM,near_stack.mdio/**,zarr/MDIO,55226638954,55.23 GB,listing,14116,,,no,,,,decimated stacking velocities elsewhere in bucket,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://tgs-opendata-poseidon.s3.amazonaws.com/index.html,yes,4,"MEASURED THIS PASS by full paginated S3 ListObjectsV2 - the bucket IS listable anonymously. This corrects an earlier '~40-50 GB whole bucket' estimate: the four stacks alone are 202.11 GB. Chunked zarr store, so n_files is the object count, not one file. Pull with s3://tgs-opendata-poseidon (us-west-2) or the mdio-python reader. full_stack is AGC-scaled."
poseidon-3d-mdio,"Poseidon 3D (TGS AWS Open Data, MDIO)",AU,Browse,angle stack (mid),post-stack,PSTM,mid_stack.mdio/**,zarr/MDIO,54993132124,54.99 GB,listing,14116,,,no,,,,decimated stacking velocities elsewhere in bucket,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://tgs-opendata-poseidon.s3.amazonaws.com/index.html,yes,4,"MEASURED THIS PASS by full paginated S3 ListObjectsV2 - the bucket IS listable anonymously. This corrects an earlier '~40-50 GB whole bucket' estimate: the four stacks alone are 202.11 GB. Chunked zarr store, so n_files is the object count, not one file. Pull with s3://tgs-opendata-poseidon (us-west-2) or the mdio-python reader. full_stack is AGC-scaled."
poseidon-3d-mdio,"Poseidon 3D (TGS AWS Open Data, MDIO)",AU,Browse,angle stack (far),post-stack,PSTM,far_stack.mdio/**,zarr/MDIO,55094310550,55.09 GB,listing,14116,,,no,,,,decimated stacking velocities elsewhere in bucket,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://tgs-opendata-poseidon.s3.amazonaws.com/index.html,yes,4,"MEASURED THIS PASS by full paginated S3 ListObjectsV2 - the bucket IS listable anonymously. This corrects an earlier '~40-50 GB whole bucket' estimate: the four stacks alone are 202.11 GB. Chunked zarr store, so n_files is the object count, not one file. Pull with s3://tgs-opendata-poseidon (us-west-2) or the mdio-python reader. full_stack is AGC-scaled."
poseidon-3d-mdio,"Poseidon 3D (TGS AWS Open Data, MDIO)",AU,Browse,project bundle,post-stack,PSTM,(whole bucket),zarr/MDIO,202110633264,202.11 GB,listing,56465,,,no,,,,4 stacks + index.html,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://registry.opendata.aws/tgs-opendata-poseidon/,yes,4,"ROLLUP ROW - sum of the four stack rows above plus index.html (37,683 B); do not double-count when totalling. 56,465 objects, 202,110,633,264 bytes, measured by exhaustive ListObjectsV2 pagination on 2026-08-24. ~2,900 km2 NW Shelf."
poseidon-3d-terranubis,Poseidon 3D (TerraNubis OpendTect project),AU,Browse,full stack,post-stack,PSTM,Poseidon_3D.zip,ZIP (OpendTect .cbvs; 32-bit SEG-Y originals available separately),,13.2 GB download / 22.1 GB uncompressed,published,1,,,no,,,,10 wells with time-depth models (constant 2500 m/s),CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-3.0-AU,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/NW-Shelf-Australia-Poseidon-3D,yes,3,"size_bytes EMPTY ON PURPOSE - TerraNubis download URLs are session-gated (a bare curl of /download/<x>.zip/2 returns a 96-byte stub), so only the portal-published GB figure is defensible and it must not be written as an exact byte count. Near/mid/far are 8-bit requantised. For byte-exact Poseidon use the MDIO rows instead."
poseidon-3d-terranubis,Poseidon 3D (TerraNubis OpendTect project),AU,Browse,angle stack (near),post-stack,PSTM,Poseidon_3D_NearStack_8bit.zip,ZIP (OpendTect .cbvs; 32-bit SEG-Y originals available separately),,10.7 GB download,published,1,,,no,,,,none,CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-3.0-AU,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/NW-Shelf-Australia-Poseidon-3D,yes,3,"size_bytes EMPTY ON PURPOSE - TerraNubis download URLs are session-gated (a bare curl of /download/<x>.zip/2 returns a 96-byte stub), so only the portal-published GB figure is defensible and it must not be written as an exact byte count. Near/mid/far are 8-bit requantised. For byte-exact Poseidon use the MDIO rows instead."
poseidon-3d-terranubis,Poseidon 3D (TerraNubis OpendTect project),AU,Browse,angle stack (mid),post-stack,PSTM,Poseidon_3D_MidStack_8bit.zip,ZIP (OpendTect .cbvs; 32-bit SEG-Y originals available separately),,9.6 GB download,published,1,,,no,,,,none,CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-3.0-AU,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/NW-Shelf-Australia-Poseidon-3D,yes,3,"size_bytes EMPTY ON PURPOSE - TerraNubis download URLs are session-gated (a bare curl of /download/<x>.zip/2 returns a 96-byte stub), so only the portal-published GB figure is defensible and it must not be written as an exact byte count. Near/mid/far are 8-bit requantised. For byte-exact Poseidon use the MDIO rows instead."
poseidon-3d-terranubis,Poseidon 3D (TerraNubis OpendTect project),AU,Browse,angle stack (far),post-stack,PSTM,Poseidon_3D_FarStack_8bit.zip,ZIP (OpendTect .cbvs; 32-bit SEG-Y originals available separately),,7.4 GB download,published,1,,,no,,,,none,CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-3.0-AU,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/NW-Shelf-Australia-Poseidon-3D,yes,3,"size_bytes EMPTY ON PURPOSE - TerraNubis download URLs are session-gated (a bare curl of /download/<x>.zip/2 returns a 96-byte stub), so only the portal-published GB figure is defensible and it must not be written as an exact byte count. Near/mid/far are 8-bit requantised. For byte-exact Poseidon use the MDIO rows instead."
poseidon-3d-terranubis,Poseidon 3D (TerraNubis OpendTect project),AU,Browse,well logs,non-seismic,n/a,(bundled inside Poseidon_3D.zip),OpendTect well objects,,,,10,,,no,,,,Kronos 1; Pharos 1; Poseidon 1; Poseidon 2; Poseidon North 1; Proteus 1 (+ sidetracks); Torosa 1 - with time-depth models,CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-3.0-AU,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/NW-Shelf-Australia-Poseidon-3D,yes,3,"The 10 wells ship inside the main project zip, not as a separate download, so no independent byte count exists. Time-depth uses a constant 2500 m/s - do NOT treat it as a calibrated checkshot. Raw well data via NOPIMS."
poseidon-3d-mdio,Poseidon 3D - stacking velocities,AU,Browse,velocity volume,post-stack,PSTM,(decimated stacking velocities),zarr/MDIO,,,,1,,,no,,,,,CC BY 4.0 (AWS Open Data registry); courtesy ConocoPhillips Australia and Geoscience Australia,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://registry.opendata.aws/tgs-opendata-poseidon/,no,3,"SIZE EMPTY - the AWS registry description mentions decimated stacking velocities, but the exhaustive bucket listing performed for this inventory found only the four *_stack*.mdio prefixes plus index.html. Either the velocities sit inside a stack store or they are not in this bucket. Do not cite a velocity key until one is confirmed."
f3-demo-2023,F3 Demo 2023,NL,Dutch North Sea (block F3),project bundle,post-stack,time,F3_Demo_2023.zip,ZIP (OpendTect project),,4.5 GB download / 7.6 GB uncompressed,published,1,"inline 100-750, crossline 300-1250, Z 0-1.848 s; 386.92 km2; 25 m x 25 m bins",4,partial,horizon; chimney,8 interpreted OpendTect horizons plus a ChimneyCube probability volume,dGB Earth Sciences interpretation; original seismic NAM via NLOG,"4 wells (F02-1, F03-2, F03-4, F06-1) with density/sonic/GR/porosity/P-impedance/Vp/Vs/litholog; 8 horizons; interval and RMS velocity models; 15 volumes incl. 2 steering cubes, dip-steered median filter, 2 AI cubes, porosity, gamma, 4 similarity/fault-enhancement; 10 2D lines",CC BY 3.0 AU (Creative Commons 3.0); acknowledge dGB Earth Sciences and the TerraNubis portal,CC-BY-SA-3.0,yes,yes,yes,no,yes,licence-text,open-registration,https://terranubis.com/datainfo/F3-Demo-2023,yes,4,"size_bytes EMPTY - TerraNubis downloads are session-gated so only published GB figures are defensible. The world's default open 3D; runs in OpendTect Pro and commercial plugins without licence keys. Horizons are interpretation, not ML segmentation labels - for those use the f3-facies rows."
f3-complete-legacy,F3 Complete (legacy dGB OSR packaging),NL,Dutch North Sea (block F3),project bundle,post-stack,time,NetherlandsOffshoreF3BlockComplete4GB,ZIP (OpendTect project),,~4 GB,published,1,,4,partial,horizon,OpendTect horizons,dGB Earth Sciences,wells plus horizons (Complete packaging only),CC BY-SA 3.0,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-registration,https://terranubis.com/datainfo/F3-Demo-2023,yes,3,"The 4GB figure is embedded in the legacy URL name, not measured. http://www.opendtect.org/osr/Main/NetherlandsOffshoreF3BlockComplete4GB now redirects to the TerraNubis F3 Demo 2023 page (verified) - the legacy OSR host no longer serves files. Superseded by F3 Demo 2023."
f3-seismic-only-legacy,F3 Seismic Only (legacy dGB OSR packaging),NL,Dutch North Sea (block F3),full stack,post-stack,time,NetherlandsOffshoreF3BlockSeismicOnly494MB,ZIP (OpendTect project),,494 MB,published,1,,4,no,,,,none,CC BY-SA 3.0,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-registration,https://terranubis.com/datainfo/F3-Demo-2023,yes,3,"The useful fact is the 494 MB figure: the bare F3 amplitude cube is under half a gigabyte, so an F3-only pretraining corpus is cheap. Size is from the legacy URL name, not measured; the URL now redirects to TerraNubis."
f3-facies-benchmark,F3 Facies Classification Benchmark (OLIVES / Georgia Tech),NL,Dutch North Sea (block F3),facies labels,post-stack,time,data.zip,ZIP of npy,1051449986,1.05 GB,api,1,train + test1 + test2 seismic/label cube pairs,4,yes,facies (6 classes),"numpy .npy label cubes co-registered with .npy seismic cubes (train_labels, test1_labels, test2_labels)","Alaudah, Michalowicz, Alfarraj and AlRegib, A Machine Learning Benchmark for Facies Classification, SEG Interpretation 2019; Zenodo 10.5281/zenodo.3755060","raw.zip 1,084,578,002 B and logs.zip 112,229 B are separate downloads in the same record",MIT (per the Zenodo record and the code repo),MIT,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/3755060,yes,5,"THE reference open facies benchmark - a 3D geological model of F3 built from well logs and seismic, with a published train/test split so results are comparable. Code: github.com/olivesgatech/facies_classification_benchmark. md5 of data.zip is bc5932279831a95c0b244fd765376d85. Sizes from the Zenodo REST API."
f3-facies-npy,F3 facies + boundary labels (3D npy compilation),NL,Dutch North Sea (block F3),facies labels,post-stack,time,f3_dataset.npy; f3_facies.npy; f3_boundaries.npy,npy,1716148356,1.72 GB,api,3,,4,yes,facies; facies boundary,3D numpy arrays,Zenodo 10.5281/zenodo.18988527 compilation,seismic cube ships with the labels,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18988527,yes,5,"Bytes = f3_dataset.npy 1,144,098,776 + f3_facies.npy 286,024,790 + f3_boundaries.npy 286,024,790. Adds facies-BOUNDARY labels, which the original OLIVES benchmark does not have - useful for edge-aware segmentation losses."
landmass,LANDMASS (F3 seismic structure patch labels),NL,Dutch North Sea (block F3),facies labels,post-stack,time,(LANDMASS-1 and LANDMASS-2 patch sets),HDF5/image patches,2325243284,2.33 GB,api,1,,,yes,"structure class (horizon, chaotic, fault, salt dome)",labelled 2D image patches extracted from the F3 cube,"OLIVES lab, Georgia Tech; Zenodo 10.5281/zenodo.3901644",none,CC BY-SA 3.0,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-download,https://zenodo.org/records/3901644,yes,5,"Patch-level (classification, not segmentation) labels on F3 - the standard benchmark for seismic structure CLASSIFICATION as distinct from facies segmentation, and one of the few open sources of FAULT and SALT DOME class labels on real field data. Size from the Zenodo API. Share-alike: derivative datasets must carry CC BY-SA."
adasemseg-facies,"AdaSemSeg processed facies datasets (F3, Parihaka, Penobscot)",MULTI,Dutch North Sea; Taranaki; Scotian Shelf,facies labels,post-stack,time,F3_data.zip; Parihaka_data.zip; Penobscot_data.zip,ZIP,2553842528,2.55 GB,api,3,,,yes,facies,pre-split seismic/label pairs ready for few-shot semantic segmentation,"Saha and Whitaker, AdaSemSeg: An Adaptive Few-Shot Semantic Segmentation of Seismic Facies, IEEE TGRS 2025 (10.1109/TGRS.2025.3595010); Zenodo 10.5281/zenodo.21764042","matching trained-model checkpoints at Zenodo 10.5281/zenodo.21762769 (3,460,258,153 B, CC BY 4.0)",CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/21764042,yes,5,"Bytes = F3_data.zip 1,050,309,306 + Parihaka_data.zip 449,881,742 + Penobscot_data.zip 1,053,651,480. The most convenient cross-survey facies package: three surveys, one preprocessing convention, published splits, plus released checkpoints. Ideal for domain-transfer experiments."
penobscot-3d,Penobscot 3D (TerraNubis project),CA,Scotian Shelf,project bundle,pre-stack,PSTM,Penobscot.zip,ZIP (OpendTect project),,8.7 GB download / 12.4 GB uncompressed,published,1,,,partial,horizon,5 interpreted OpendTect horizons,dGB Earth Sciences,"stacking velocities; wells B-41 and L-30 with logs, markers and time-depth models; 5 horizons; dip-steering volumes; NMO-migrated gathers AND conditioned angle gathers",CC BY-SA 3.0,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-registration,https://terranubis.com/datainfo/Penobscot,yes,4,size_bytes EMPTY - session-gated download. The best F3 alternative and strictly better for pre-stack: one of very few open 3Ds shipping migrated gathers AND angle gathers AND velocities AND wells. Pair with the Baroni Zenodo label rows for a complete supervised setup.
penobscot-3d-prestack,Penobscot 3D full pre-stack (legacy dGB OSR),CA,Scotian Shelf,pre-stack gather (CDP),pre-stack,PSTM,PENOBSCOT3DSABLEISLAND,SEG-Y,,101 GB,published,1,,,no,,,,as per the TerraNubis project,CC BY-SA 3.0,CC-BY-SA-3.0,yes,yes,yes,yes,yes,spdx,open-request,http://www.opendtect.org/osr/Main/PENOBSCOT3DSABLEISLAND,no,2,SIZE EMPTY as bytes - 101 GB is a published figure only. The legacy OSR URL now redirects to TerraNubis and no direct 101 GB download path was confirmed this pass. Use only if the 8.7 GB conditioned subset is genuinely insufficient; contact dGB for media.
penobscot-labels-baroni,"Penobscot Interpretation Dataset (Baroni et al. 2020, v3.0.0)",CA,Scotian Shelf,facies labels,post-stack,PSTM,dataset.h5,HDF5,2268562702,2.27 GB,api,1,"crosslines 289 train / 192 test slices; inlines 358 train / 238 test slices; >100,000 labelled images",,yes,facies (7 classes),"HDF5 image/mask records; 16,706 train / 1,000 test records per class (crosslines), 14,988 / 1,000 (inlines)","Baroni, Silva, Ferreira, Chevitarese, Szwarcman and Vital Brazil, DOI 10.5281/zenodo.3924682",horizons.zip (7 reinterpreted horizons) is a separate row,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/3924682,yes,5,"EXACT size from the Zenodo REST API (2,268,562,702 B - the commonly quoted 2.3 GB rounds this). The reference labelled companion to Penobscot. Reference implementation: IBM rockml. Whole record is 2,316,061,505 B across 5 files."
penobscot-labels-baroni,"Penobscot Interpretation Dataset (Baroni et al. 2020, v3.0.0)",CA,Scotian Shelf,horizon set,post-stack,PSTM,horizons.zip,ZIP,36213721,36.21 MB,api,1,,,yes,horizon,7 reinterpreted horizons,"Baroni et al. 2020, DOI 10.5281/zenodo.3924682",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/3924682,yes,5,"The horizons the 7 facies classes were derived from - needed to regenerate or modify the labelling. Companion files in the same record: how-to-read.ipynb 633,270 B, penobscot-examples.png 10,649,865 B, dataset-log.txt 1,947 B."
penobscot-facies-npy,Penobscot facies + boundary labels (3D npy compilation),CA,Scotian Shelf,facies labels,post-stack,PSTM,penobscot_dataset.npy; penobscot_facies.npy; penobscot_boundaries.npy,npy,2603463870,2.60 GB,api,3,,,yes,facies; facies boundary,3D numpy arrays,"Zenodo 10.5281/zenodo.18988527 compilation, re-standardised from Baroni et al.",seismic cube ships with the labels,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18988527,yes,5,"Bytes = penobscot_dataset.npy 1,735,642,452 + penobscot_facies.npy 433,910,709 + penobscot_boundaries.npy 433,910,709. 3D arrays rather than HDF5 slice records, which suits volumetric models better than Baroni's original packaging."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),pre-stack gather (CIP),pre-stack,PSDM,ST0202R08_PZ_PrSDM_CIP_gathers_in_PP_Time.segy,SEG-Y,20311496528,20.31 GB,HEAD,1,,,no,,,,"see the horizons, faults, welllogs and checkshots rows in this dataset","Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/seismic/st0202/prestacks/ST0202R08_PZ_PrSDM_CIP_gathers_in_PP_Time.segy,yes,4,"THE prize of open pre-stack: 18.92 GiB of PSDM CIP gathers in PP time that you can curl in one command, no account, no Azure. Verified Content-Length 20311496528 on a plain anonymous HTTPS HEAD. Bucket is anonymously listable (?list-type=2). commercial_ok=no because the Equinor licence scopes use to study, research and development."
volve-osdu,Volve (OSDU open test-data S3 mirror),NO,Norwegian North Sea (block 15/9),full stack,post-stack,PSDM,ST0202R08-PS_PSDM_FULL_OFFSET_DEPTH.MIG_FIN.POST_Stack.3D.JS-017534.segy,SEG-Y,895367300,895.37 MB,listing,1,,,no,,,,,"Equinor Open Data Licence (study, research and development permitted for academic institutions, students and researchers; OSDU repo tooling itself is Apache-2.0)",,no,unclear,yes,unclear,unclear,licence-text,open-download,https://s3.amazonaws.com/osdu-seismic-test-data/volve/seismic/st0202/stacks/ST0202R08-PS_PSDM_FULL_OFFSET_DEPTH.MIG_FIN.POST_Stack.3D.JS-017534.segy,yes,4,Full-offset PSDM post-stack in DEPTH - pairs with the raw PP-time stack for a depth/time comparison.
