dataset_id,dataset_name,country,basin,product,domain,migration,file_name,format,size_bytes,size_human,size_method,n_files,dims,sample_rate_ms,has_labels,label_type,label_format,label_source,ancillary,license,license_spdx,commercial_ok,redistribution_ok,attribution_required,share_alike,ml_training_ok,usage_basis,access,url,verified,ml_ready,notes
openfwi-kimberlina-co2,OpenFWI - Kimberlina-CO2,SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data/model npy,npy,,96 GB,published,1,"seismic (9, 1251, 101); velocity (1, 401, 141)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","15,000 train / 4,430 val samples; family Kimberlina",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. Derived from the NRAP Kimberlina CCS simulations; the CO2-storage-relevant subset. Host: NETL (US DOE National Energy Technology Laboratory)"
openfwi-kimberlina-v1-3d,OpenFWI - Kimberlina-V1 (3D),SYNTHETIC,n/a (synthetic),shot gathers (synthetic),synthetic,unmigrated,data/model npy,npy,,1.4 TB,published,1,"seismic (25, 5001, 40, 40); velocity (1, 350, 400, 400)",1,yes,velocity model,"npy (model*.npy, paired 1:1 with data*.npy)","LANL forward-modelled ground truth (Deng et al., NeurIPS 2022 D&B)","1,664 train / 163 val samples; family Kimberlina",CC BY-NC-SA 4.0 (DATA); code is BSD-3-Clause,CC-BY-NC-SA-4.0,no,yes,yes,yes,unclear,spdx,open-download,https://openfwi-lanl.github.io/docs/data.html,yes,2,"DATA licence CC BY-NC-SA 4.0 blocks commercial use; the github.com/lanl/OpenFWI CODE is BSD-3-Clause. Paired data*.npy (seismic) + model*.npy (velocity) files. Size is the portal's published figure, not Content-Length; per-file Google Drive IDs not enumerated. The only 3D family; dominates the suite total (~2.2 TB with 3D vs ~793 GB without). Host: NETL (US DOE National Energy Technology Laboratory)"
cig-clinothem-massive,"CIG Massive-scale clinothem datasets (4,000 labeled synthetic + 3,000 unlabeled field)",MULTI,n/a (synthetic),attribute volume,synthetic,n/a,"rawdata3D.zip (37,930,199,040 B); Labeled_Synthetic_Datasets.zip (31,420,547,648 B); Unlabeled_Field_Datasets.zip (11,689,686,525 B)",ZIP,81040433213,81.04 GB,api,3,,,yes,RGT,volumes inside Labeled_Synthetic_Datasets.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/20769762,yes,5,"DOI 10.5281/zenodo.20769762. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Largest record in the collection. Global shelf-edge-scale clinothems for relative-geologic-time estimation. Published 2026-06-20. Mixes labeled synthetic and unlabeled field data."
cig-cigck,cigCK - 3D synthetic volumes with labeled channels AND karsts,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"gx.zip.001-005 (8,546,942,976 B each) + lx.zip (136,005,115 B)",ZIP (split archive),42870719995,42.87 GB,api,6,,,yes,channel; karst,label volumes in lx.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/12806267,yes,5,"DOI 10.5281/zenodo.12806267. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Simultaneous channel + karst interpretation. Split archive - all 5 gx parts required before unzip. Top pick for commercially usable labeled 3D synthetics."
cig-rgt-horizons-faults,CIG Deep learning for simultaneously interpreting 3D horizons and faults via RGT,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"seis.zip* + rgt.zip* split parts, 536,870,912 B each (53 files)",ZIP (split archive),27968005525,27.97 GB,api,53,,,yes,RGT; fault; horizon,rgt.zip* volumes + fault volumes,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/4627924,yes,5,"DOI 10.5281/zenodo.4627924. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. 400 pairs of 3D seismic + label volumes. Published 2021-02-11."
cig-lfd,CIG LFD - Latent-Compression-Free Generative Diffusion with Geological Priors,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"LFD.zip (24,629,832,431 B); A_flower_horiz.npz (2,097,658 B); README.md (5,186 B)",ZIP; npz,24631935275,24.63 GB,api,3,,,partial,structural model,npz,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,MIT,MIT,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/20508635,yes,4,"DOI 10.5281/zenodo.20508635. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Implicit structural modelling by diffusion. Code at github.com/ProgrammerZXG/LFD. MIT licence - fully commercial-friendly."
cig-gas-bearing,CIG Self-supervised pre-training + few-shot finetuning for gas-bearing prediction,MULTI,n/a (synthetic),attribute volume,synthetic,n/a,gas-detection.7z,7z,19715809052,19.72 GB,api,1,,,partial,gas-bearing (DHI),inside 7z,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/15301338,yes,4,"DOI 10.5281/zenodo.15301338. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Field + synthetic mix for direct-hydrocarbon-indicator prediction. Published 2025-04."
cig-cigchannel,cigChannel - large-scale 3D synthetic seismic with labeled paleochannels,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"Assorted_Channel_Seismic_300-349.zip (3,120,667,627 B); _350-399.zip (3,119,762,066 B); Assorted_Channel_Ip_300-349.zip (2,850,537,263 B); _350-399.zip (2,853,871,091 B); Assorted_Channel_Label_300-349.zip (14,149,642 B); _350-399.zip (14,523,123 B)",ZIP,11973510812,11.97 GB,api,6,,,yes,channel,Assorted_Channel_Label_*.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/15500696,yes,5,"DOI 10.5281/zenodo.15500696. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. 400 samples incl. folded and faulted structures. Ships impedance (Ip) volumes alongside seismic and labels. Second-best value pick after cigCK."
cig-clinoformnet,ClinoformNet-1.0 - synthetic + field clinoform delineation,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"Training_datasets-smallscale.zip (4,672,120,257 B); Training_datasets-largescale.zip (4,167,026,507 B); Field_dataset.zip (2,187,177,444 B)",ZIP,11026324208,11.03 GB,api,3,,,yes,clinoform,labels inside training zips,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/7122471,yes,5,"DOI 10.5281/zenodo.7122471. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Built by stratigraphic forward modelling. Code at zenodo.org/records/7123934. Published 2022-09-29."
cig-rgt-pretrain-align,"CIG Pretrain-to-alignment RGT baselines (3,000 field datasets)",MULTI,n/a (synthetic),attribute volume,synthetic,n/a,"Field2d_final_baseline.zip (5,535,857,466 B); Field2d_predictions_step1.zip (2,635,422,329 B); Field2d_predictions_step2.zip (2,630,229,926 B)",ZIP,10801509721,10.80 GB,api,3,,,yes,RGT,prediction volumes,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18910332,yes,4,"DOI 10.5281/zenodo.18910332. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Field-data RGT baselines (predictions, not hand-picked ground truth). Published 2026-03-15."
cig-cigkast,cigKast - 3D synthetic volumes with labeled paleokarsts,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"seismic.zip (7,496,187,892 B); karst.zip (26,361,067 B); checkpoint.50.hdf5 (282,529,584 B)",ZIP; HDF5,7805078543,7.81 GB,api,3,,,yes,karst,karst.zip (binary label volumes),"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/4285733,yes,5,"DOI 10.5281/zenodo.4285733. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. 120 pairs of seismic + label volumes. Ships a pretrained Keras checkpoint. Published 2020-11-23."
cig-cigck-extended,cigCK (Extended dataset),SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,gx.zip.006,ZIP (split archive part),7265313700,7.27 GB,api,1,,,yes,channel; karst,see parent cigCK record,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/17104253,yes,4,"DOI 10.5281/zenodo.17104253. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Sixth split part extending cigCK (record 12806267). Useless on its own - download alongside the parent record. Published 2025-09-12."
cig-apriori-constraints,CIG Sensing a priori constraints in DNNs for solving geophysical problems,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"Fig3_seismicAndFaults.zip (7,191,867,716 B); Fig8_featureMaps.zip (41,282,447 B); Fig7_das_608X320.dat (778,240 B); + 5 small .dat/.zip",ZIP; dat,7234566309,7.23 GB,api,8,,,yes,fault; horizon,packed in figure zips,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/7326606,yes,4,"DOI 10.5281/zenodo.7326606. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Paper-reproduction bundle organised by figure, not a clean train/val split. Published 2022-11-16."
cig-implicit-structural-3d,CIG 3D Implicit Structural Modeling (training + validation),SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"syn_train_valid_dataset00-04 (1,073,741,824 B each) + dataset05 (309,460,647 B)",raw split files,5678169767,5.68 GB,api,6,,,yes,structural model,packed in dataset shards,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/6480165,yes,4,"DOI 10.5281/zenodo.6480165. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Implicit structural modelling via CNN. Concatenate the 6 shards. Published 2022-04-23."
cig-cigrocksem,cigRockSEM - rock microstructure in SEM images,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,data.zip,ZIP,4647873371,4.65 GB,api,1,,,yes,rock microstructure,masks inside data.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/14988631,yes,4,"DOI 10.5281/zenodo.14988631. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. NOT seismic - SEM imagery of mudstone/sandstone/shale. Included for completeness of the CIG collection. Published 2025-03-07."
cig-objective-programmable-ism,CIG Objective-programmable implicit structural modeling,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"rgtsss20000.dat, fx.dat, sx.dat (1,054,468,800 B each); rgt20000_normals_faultUnc_segs_hors_t.dat (262,080,000 B); + 6 smaller .dat",dat (raw binary),4050343632,4.05 GB,api,10,,,yes,RGT; horizon; fault,rgt*.dat volumes,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18728073,yes,4,"DOI 10.5281/zenodo.18728073. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Raw .dat binaries - no header, dimensions must come from the paper. Published 2026-02-22."
cig-crossdomain-fm-data,CIG Cross-Domain Foundation Model Adaptation - data,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,dataset.zip,ZIP,2790394037,2.79 GB,api,1,,,partial,mixed,inside dataset.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/12798750,yes,4,"DOI 10.5281/zenodo.12798750. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. arXiv:2408.12396. Code at zenodo.org/records/14927852 (MIT). See also the porestar/* HuggingFace republications. Published 2024-07-23."
cig-ism-diffusion,CIG Implicit Structural Modeling via Generative Diffusion Framework,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,RGTSYN.7z,7z,2369706902,2.37 GB,api,1,,,yes,RGT,RGTSYN.7z,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/18447817,yes,4,"DOI 10.5281/zenodo.18447817. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Synthetic RGT volumes for diffusion-based structural modelling. Published 2026-01-27."
cig-geoinformed-training-sets,CIG Geologically-informed + data-driven labeled synthetic training sets,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,huig25rgt_datasets.zip,ZIP,2199788078,2.20 GB,api,1,,,yes,RGT; stratigraphy,inside huig25rgt_datasets.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/14678398,yes,5,"DOI 10.5281/zenodo.14678398. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Training data for a full seismic stratigraphic interpretation workflow. Code at zenodo.org/records/14835207 (MIT). Published 2025-01-18."
cig-memeff-fullvolume,CIG Memory-Efficient Full-Volume Inference for Large-Scale 3D Dense Prediction,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,zenodo.zip,ZIP,1058922925,1.06 GB,api,1,,,partial,structural model,inside zenodo.zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,MIT,MIT,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/17810071,yes,4,"DOI 10.5281/zenodo.17810071. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Method/inference paper bundle rather than a standalone training corpus. Published 2025-12-04."
cig-foundation-prompt-engine,CIG Foundation model with multi-modal prompt engine for universal seismic geobody interpretation,SYNTHETIC,n/a (synthetic),attribute volume,synthetic,n/a,"Channel.zip (585,923,192 B); SaltBody.zip (255,287,664 B); Karst.zip (173,213,981 B)",ZIP,1014424837,1.01 GB,api,3,,,yes,channel; karst; salt,label volumes inside each zip,"Xinming Wu / CIG, USTC - forward-modelled ground truth",,CC BY 4.0,CC-BY-4.0,yes,yes,yes,no,yes,spdx,open-download,https://zenodo.org/records/13892216,yes,5,"DOI 10.5281/zenodo.13892216. CIG (Computational Interpretation Group, USTC / Xinming Wu). Enumerated via Zenodo API q=creators.name:""Wu, Xinming"" - a bare 'seismic' query misses this collection entirely. Byte-exact from hits.hits[].files[].size. Three geobody classes as separate zips - small, clean and directly trainable. Published 2024-10-05."
